Release_Date,Category,Product,Sub_Product,Function,Sub_Function,Release_Summary,Release_Note,Slack Link,Product Video,CS Video Int,CS Video Ext,Release_Note_Link,Documentation,Assigned Resource,CS Video Added Date
9/2/2022,Utility,Secure,Falco,,,Scripting Language Execution below dev,"Scripts, such as shell or Python, are often used by attackers once on a compromised system. One way to hide these scripts is to place them in an uncommon directory where administrators may not check. The /dev directory is an example of these uncommon directories. If a script is found in the /dev directory, it should be investigated.
Policy: Sysdig Runtime Notable Events
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
9/2/2022,Utility,Secure,Falco,,,Suspicious Kernel Parameter Modification,"Once an attacker is on a system, they may need to modify it in order to advance their goals. This could include disabling certain security features or prepping a system to be more efficient for more tasks such as cryptomining. If kernel parameters are changed during runtime, they should be checked to make sure they are legitimate.
Policy: Sysdig Runtime Notable Events
False Positive Chance: Medium",Slack Link,NA,NA,NA,NA,NA,,
9/5/2022,Component,Secure,SFC-AWS-TF,,,0.9.6,"https://github.com/sysdiglabs/terraform-aws-secure-for-cloud/releases/tag/v0.9.6
added a new use case for Booking; non-terraform org three-way k8s threat compliance
",Slack Link,NA,NA,NA,Release Notes,NA,,
9/5/2022,Component,Secure,SFC-GCP-TF,,,0.9.3,"https://github.com/sysdiglabs/terraform-google-secure-for-cloud/releases/tag/v0.9.3
",Slack Link,NA,NA,NA,Release Notes,NA,,
9/5/2022,Component,Secure,SFC-Azure-TF,,,0.9.2,"https://github.com/sysdiglabs/terraform-azurerm-secure-for-cloud/releases/tag/v0.9.2
allow scanning multiple existing registries",Slack Link,NA,NA,NA,Release Notes,NA,,
09/07/2022,Product Feature,Secure,Detection & Response,Insights,,Host & Container,,Slack Link,NA,NA,NA,NA,Docs Link,,
09/08/2022,Component,Monitor,Prometheus Integration,,,0.0.1.636,"## Integrations:
new: Openshift 4 CoreDNS integration
new: Openshift 4 Etcd integration
new: Calico integration
## Dashboards and alerts:
fix: Change AWS Metrics ECS Stream dashboard template to include ECS in the name
feat: Make Etcd and CoreDNS dashboards compatible with K8s and Openshift 4 (both OKD and ROKS)
## Promcat.io:
feat: Update cassandra integration details with JMX exporter",Slack Link,NA,NA,NA,Release Notes,NA,,
9/9/2022,Product Feature,Monitor,Settings,Notification Channel,,Google chat channel,,Slack Link,NA,NA,NA,NA,Docs Link,,
9/13/2022,Component,Secure,SFC-AWS-TF,,,0.9.9,"Expose s3 log retention
",Slack Link,NA,NA,NA,Release Notes,NA,,
09/15/2022,Component,Monitor,Prometheus Integration,,,0.0.1.646,"## Integrations:
- new: OpenShift API Server integration
- fix: Enable OpenShift CoreDNS job
- fix: add missing logos
## Dashboards and alerts:
- new: OpenShift v4 API Server dashboard including openshift-api scopes
*Full Changelog*: https://github.com/sysdiglabs/prometheus-integrations/compare/v0.0.1.636...v0.0.1.646",Slack Link,NA,NA,NA,Release Notes,NA,,
9/19/2022,Component,Secure,SFC-AWS-TF,,,0.9.10,Add deploy_aws_iam_user optional for example/single-k8s,Slack Link,NA,NA,NA,Release Notes,NA,,
9/19/2022,Component,Platform,OnPrem,,,5.1.3.hotfix,"Upgrade Process
Supported Upgrades From: 4.0.x, 5.0.x

For the full supportability matrix, see the Release Notes on Github. There you will also find important Install instructions.

Defect Fixes
Fixed an Elasticsearch issue occurred during upgrades that could result in pods ending in a CrashLoopBackOff state. This fix will overall improve Elasticsearch resiliency for users.",Slack Link,NA,NA,NA,Release Notes,NA,,
09/20/2022,Product Feature,Platform,Settings,SSO,,Logout feature for SSO,,Slack Link,NA,NA,NA,NA,Docs Link,,
09/20/2022,Product Feature,Monitor,Prometheus,,,Label filtering is case sensitive,,Slack Link,NA,NA,NA,NA,NA,,
09/21/2022,Component,Secure,SFC-GCP-TF,,,0.9.4,,Slack Link,NA,NA,NA,Release Notes,NA,,
09/21/2022,Utility,Secure,Falco,,,Ability to disable rules in a policy,,Slack Link,NA,NA,NA,NA,NA,,
09/21/2022,Product Feature,Secure,Posture,Compliance,CSPM,Preview release of CSPM OPA based Controls Library in Actionable Compliance,,Slack Link,NA,NA,NA,NA,NA,,
09/26/2022,Component,Secure,Cloud Connector,,,0.16.18,"Bug Fixes
Solve appending an exception to a rule that has none (#767)
Code Refactoring
Decouple scanner result publication (#764)
Features
registryscanner: Implement the new registry scanning for ECR (#748)
Small Modifications
Allow to specify chart path in Justfile (#763)",Slack Link,NA,NA,NA,Release Notes,NA,,
09/27/2022,Product Feature,Monitor,Advisor,,,"4 new Advisories -
Cluster pod capacity
Replicas unavailable
Cluster CPU overcommitment
Cluster memory overcommitment",,Slack Link,Video,?,?,NA,NA,,
09/29/2022,Product Feature,Platform,Settings,SSO,,Group Id in SAML,,Slack Link,NA,NA,NA,NA,Docs Link,,
9/29/2022,Component,Secure,Admission Controller Int,,,3.9.9,"fix admission controller image vulnerabilities
removed log noise",Slack Link,NA,NA,NA,Release Notes,NA,,
10/03/2022,Product Feature,Secure,Add On,Splunk,,The Sysdig Splunk App 1.1.1 and Add-on 1.1.1 have been released.,,Slack Link,NA,NA,NA,NA,Docs Link,,
